,ID,Cardio_service,MMA_service,Cycling_service,HSI_unlimited,Total_Revenues_Package,Total_Discount_Promo,Duration,Observed,W,Province_Quebec
6597102,9500092735881825,1,1,1,1,201.99,123.0,13.0,True,11.0,0
2703338,9500047878971825,0,0,1,0,60.99,0.0,150.0,True,140.0,0
2435951,9500044735551825,1,0,1,1,95.0,0.0,14.0,True,10.0,0
7687374,9500104692821825,0,0,1,0,40.5,0.0,37.0,False,7.0,0
17486610,9600052294271825,1,1,1,1,189.48000000000002,52.0,269.0,False,239.0,1
15116480,9500215188121825,1,1,1,1,213.49,0.0,15.0,False,-15.0,0
21301186,9600145561741825,1,0,1,0,100.49000000000001,0.0,108.0,False,78.0,1
15712997,9500254742931825,1,0,0,1,103.0,18.0,0.0,False,-30.0,0
17517631,9600052597881825,0,0,1,0,3.0,0.0,268.0,False,238.0,1
21492722,9600150590201825,1,1,1,0,147.93,24.0,144.0,False,114.0,1
12096192,9500152485741825,1,0,1,1,140.49,22.0,311.0,False,281.0,0
6538105,9500091827141825,1,0,1,0,0.0,0.0,100.0,True,96.0,0
18021789,9600061133311825,0,0,1,0,17.0,0.0,362.0,False,332.0,1
21153748,9600141484101825,1,1,1,0,151.93,0.0,115.0,False,85.0,1
21483469,9600150497811825,1,0,1,0,0.0,0.0,346.0,True,333.0,1
4085248,9500064931551825,0,0,1,0,77.49,0.0,358.0,False,328.0,0
8621268,9500114806011825,1,0,0,1,103.95,18.0,182.0,False,152.0,0
12280013,9500154488441825,0,1,1,0,110.49000000000001,0.0,36.0,False,6.0,0
12643191,9500158713751825,0,0,1,0,25.0,0.0,10.0,True,6.0,0
5820331,9500084054391825,1,1,1,1,226.43,0.0,125.0,False,95.0,0
19537971,9600099631201825,1,1,1,1,134.94,67.0,6.0,True,2.0,1
18954752,9600083448351825,1,1,1,1,180.94,36.0,301.0,False,271.0,1
20397195,9600118577081825,1,1,1,1,137.44,70.5,72.0,True,42.0,1
22400349,9600182555671825,1,0,0,0,0.0,0.0,10.0,True,-4.0,1
19779053,9600104250691825,1,0,1,1,120.0,0.0,145.0,False,115.0,1
4536456,9500070610841825,1,1,1,1,174.99,86.99000000000001,21.0,True,7.0,0
5207556,9500077124541825,1,0,1,1,172.49,32.0,157.0,False,127.0,0
1024198,9500029665191825,1,1,1,1,211.49,61.0,464.0,True,462.0,0
4168256,9500065734021825,1,0,1,1,138.5,32.0,47.0,True,18.0,0
19992120,9600110262881825,1,1,1,0,153.93,0.0,358.0,False,328.0,1
3010130,9500051156191825,1,0,0,1,103.0,20.0,30.0,True,20.0,0
20824905,9600132255081825,1,1,1,0,140.93,0.0,93.0,True,81.0,1
16925315,9600034878451825,1,1,1,0,161.48000000000002,16.0,432.0,False,402.0,1
12036382,9500151327521825,1,0,1,0,101.0,25.0,23.0,True,7.0,0
7837969,9500106104551825,1,0,0,1,103.0,35.0,46.0,False,16.0,0
15712714,9500254592451825,1,0,1,1,182.5,12.5,0.0,False,-30.0,0
23171373,9600238498181825,1,0,1,1,111.45,35.0,7.0,False,-23.0,1
7945190,9500107456651825,1,0,1,0,143.44,0.0,427.0,False,397.0,0
6232825,9500088796821825,1,0,0,1,98.0,0.0,195.0,False,165.0,0
9254015,9500121588181825,1,0,1,0,0.0,76.0,12.0,True,1.0,0
10590243,9500135900921825,0,0,1,0,77.49,0.0,505.0,False,475.0,0
3389153,9500057016401825,0,0,1,0,77.49,0.0,414.0,False,384.0,0
2259552,9500043216221825,0,0,1,0,23.0,0.0,12.0,True,9.0,0
13745179,9500173884691825,1,0,1,1,140.5,58.5,12.0,True,-2.0,0
8680403,9500115428061825,1,0,0,1,80.95,0.0,95.0,False,65.0,0
14733522,9500202400611825,1,1,1,0,0.0,0.0,15.0,True,-11.0,0
3759949,9500061383621825,1,0,1,1,192.44,26.0,93.0,False,63.0,0
159479,9500017255931825,0,0,1,0,63.99,0.0,389.0,True,373.0,0
11682254,9500147611971825,0,0,1,0,77.49,0.0,192.0,False,162.0,0
8405719,9500112864871825,1,0,1,0,0.0,0.0,123.0,True,112.0,0
15383569,9500224928681825,1,1,0,1,141.99,47.0,11.0,False,-19.0,0
1830715,9500039326191825,0,0,1,0,25.0,0.0,30.0,False,0.0,0
15520913,9500233413611825,1,0,0,1,103.0,15.0,9.0,False,-21.0,0
15236723,9500219051671825,1,1,1,1,169.49,88.5,13.0,False,-17.0,0
11784343,9500148435161825,1,1,0,1,66.99,0.0,13.0,True,5.0,0
13106564,9500161976551825,1,1,1,0,159.49,36.0,202.0,False,172.0,0
22167585,9600168610511825,1,0,1,1,105.0,0.0,29.0,False,-1.0,1
6067134,9500086953101825,0,0,1,0,69.49,0.0,128.0,False,98.0,0
20539391,9600124723331825,0,0,1,0,2.99,0.0,118.0,False,88.0,1
21123143,9600140878401825,1,1,1,1,179.48000000000002,32.0,360.0,False,330.0,1
5886907,9500084698981825,1,0,0,1,113.0,20.0,203.0,False,173.0,0
4912397,9500073227751825,1,0,1,1,159.49,0.0,57.0,True,32.0,0
1382774,9500034031241825,1,0,1,1,167.44,0.0,59.0,False,29.0,0
1708067,9500038367521825,0,0,1,0,77.49,0.0,338.0,False,308.0,0
13653954,9500169512181825,1,0,1,1,138.5,43.0,29.0,False,-1.0,0
465807,9500021102581825,1,0,1,0,97.95,25.0,83.0,False,53.0,0
23227806,9600249525121825,1,0,0,1,85.95,15.95,2.0,False,-28.0,1
718929,9500024689041825,1,1,0,1,160.99,0.0,21.0,True,19.0,0
2155782,9500041997541825,1,0,0,1,0.0,0.0,19.0,True,11.0,0
5346711,9500078896251825,1,0,0,1,103.0,0.0,169.0,False,139.0,0
17571750,9600053132541825,1,1,1,1,176.94,48.0,363.0,False,333.0,1
8450194,9500113288751825,0,0,1,0,47.49,0.0,241.0,False,211.0,0
2426044,9500044653951825,1,0,0,0,75.95,0.0,44.0,True,33.0,0
14907182,9500207963931825,1,1,1,1,166.49,84.5,17.0,False,-13.0,0
408266,9500020303321825,1,1,1,1,175.44,18.0,182.0,False,152.0,0
276113,9500018574871825,1,1,1,0,211.43,0.0,434.0,False,404.0,0
12195170,9500153316771825,1,0,1,1,181.44,0.0,255.0,False,225.0,0
9534103,9500124493731825,0,1,0,0,56.99,0.0,61.0,False,31.0,0
7642154,9500104401921825,0,0,1,0,77.49,0.0,394.0,False,364.0,0
5096172,9500075652331825,1,0,1,0,104.95,0.0,44.0,True,43.0,0
3168679,9500054087821825,1,0,1,0,138.94,0.0,144.0,True,140.0,0
5683656,9500081764101825,1,0,0,1,93.0,0.0,115.0,False,85.0,0
5185457,9500076800241825,1,0,1,1,136.45,0.0,51.0,False,21.0,0
16418603,9600028721951825,1,1,1,0,112.44,22.0,432.0,False,402.0,1
4201043,9500066518771825,1,0,0,0,79.95,0.0,65.0,True,60.0,0
15676947,9500246717091825,1,1,1,1,67.99,33.0,3.0,True,-27.0,0
15561032,9500236164241825,0,1,1,0,0.0,0.0,8.0,False,-22.0,0
6504058,9500091370801825,0,0,1,0,37.99,0.0,330.0,True,319.0,0
19277263,9600091800141825,1,0,1,1,130.49,26.0,340.0,False,310.0,1
3315992,9500056338681825,1,0,0,1,0.0,0.0,18.0,True,10.0,0
2944099,9500050245061825,1,0,1,0,0.0,0.0,30.0,True,21.0,0
20362499,9600118007081825,0,1,1,0,47.989999999999995,0.0,54.0,False,24.0,1
12261777,9500154205531825,1,1,0,1,147.94,32.0,118.0,False,88.0,0
12801081,9500159811741825,1,1,1,1,238.43,0.0,145.0,False,115.0,0
5264954,9500077834221825,0,0,1,0,77.49,0.0,112.0,True,88.0,0
11429337,9500144635051825,1,1,1,1,190.49,36.0,11.0,True,2.0,0
11288696,9500143451991825,0,0,1,0,69.49,8.0,160.0,False,130.0,0
8470582,9500113585421825,1,0,1,1,146.44,0.0,229.0,False,199.0,0
15489779,9500231105271825,1,1,0,1,149.99,53.0,10.0,False,-20.0,0
15690394,9500248925031825,0,0,1,0,25.0,0.0,2.0,False,-28.0,0
12483231,9500157447961825,1,0,1,0,102.45,0.0,38.0,False,8.0,0
7376377,9500101504451825,1,0,1,1,149.5,44.0,37.0,False,7.0,0
3028847,9500051371261825,1,1,1,1,214.48,0.0,147.0,False,117.0,0
20465007,9600121457231825,0,0,1,0,47.49,0.0,203.0,False,173.0,1
17372219,9600050454761825,1,1,1,0,147.93,0.0,212.0,False,182.0,1
16719227,9600033044871825,1,0,1,1,114.95,0.0,199.0,True,188.0,1
16581968,9600031021961825,0,0,1,0,25.0,0.0,362.0,False,332.0,1
7134834,9500098156771825,1,0,0,1,95.0,30.0,49.0,True,32.0,0
3558756,9500058963411825,1,0,1,1,121.45,0.0,52.0,False,22.0,0
8977787,9500119173051825,1,1,1,1,229.48000000000002,104.99000000000001,64.0,False,34.0,0
11712447,9500147903521825,1,1,1,1,190.49,30.0,89.0,False,59.0,0
172097,9500017324901825,1,1,0,1,154.99,22.0,264.0,False,234.0,0
15544331,9500235116901825,1,1,0,1,159.99,55.0,8.0,False,-22.0,0
16121319,9600026022461825,0,0,1,0,47.49,0.0,77.0,False,47.0,1
18167241,9600064064871825,1,1,1,1,162.93,8.0,265.0,False,235.0,1
9548106,9500124675811825,1,0,1,1,144.5,0.0,36.0,False,6.0,0
1688461,9500038211011825,1,1,1,1,216.48000000000002,21.0,54.0,False,24.0,0
23215683,9600245959151825,1,0,0,1,85.95,15.95,3.0,False,-27.0,1
6245757,9500088885351825,1,0,1,0,0.0,0.0,63.0,True,34.0,0
15393698,9500225345601825,1,0,0,1,98.0,25.0,11.0,False,-19.0,0
18386023,9600068254051825,0,0,1,0,0.0,0.0,10.0,True,10.0,1
16064311,9600024170821825,1,1,1,1,128.44,0.0,96.0,False,66.0,1
11259151,9500143181471825,1,1,1,1,224.49,0.0,30.0,False,0.0,0
3501884,9500058084861825,0,0,1,0,44.99,0.0,225.0,True,196.0,0
13392148,9500165148001825,0,0,1,0,87.49,6.0,241.0,False,211.0,0
7028470,9500097136411825,1,1,1,1,187.49,75.0,229.0,False,199.0,0
14453674,9500193606561825,1,0,0,1,113.0,0.0,22.0,False,-8.0,0
10636926,9500136209981825,0,0,1,0,25.0,0.0,285.0,False,255.0,0
11358305,9500144038241825,1,0,1,1,125.5,32.0,157.0,False,127.0,0
9158913,9500120661021825,1,0,0,1,85.0,0.0,8.0,True,0.0,0
10795714,9500137580461825,1,0,1,1,155.45,0.0,66.0,False,36.0,0
15334273,9500222682841825,1,1,1,1,174.49,0.0,12.0,False,-18.0,0
13657887,9500169631061825,1,0,0,0,0.0,0.0,14.0,True,-1.0,0
